Metoda;D³ugoœæ kroku;x0(1);x0(2);x(1);x(2);f_calls;Minimum Globalne;Sukces
Hooke-Jeeves;0.5;-0.56901;0.323152;0.774717;0.774715;176;1,23967; ;TAK
Hooke-Jeeves;0.5;0.306543;-0.0382838;0.774715;5.22249e-07;177;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.976735;-0.0521001;-5.97634e-07;-9.17574e-07;215;3,81828e-11; ;TAK
Hooke-Jeeves;0.5;0.428933;-0.0120513;0.774715;-7.05361e-07;192;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.467013;0.080253;-3.37943e-07;-5.95918e-07;193;1,49445e-11; ;TAK
Hooke-Jeeves;0.5;0.456152;-0.426399;0.774715;3.14751e-07;207;0,619837; ;TAK
Hooke-Jeeves;0.5;0.417593;-0.456208;0.774715;-3.9659e-07;199;0,619837; ;TAK
Hooke-Jeeves;0.5;0.934493;0.7828;0.774715;0.774715;187;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.690106;0.536155;-0.774716;-8.65668e-07;190;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.635852;0.85204;0.774717;0.774716;192;1,23967; ;TAK
Hooke-Jeeves;0.5;0.810763;0.748744;0.774716;0.774716;166;1,23967; ;TAK
Hooke-Jeeves;0.5;0.961695;0.571551;0.774716;8.23023e-07;191;0,619837; ;TAK
Hooke-Jeeves;0.5;0.856772;-0.121528;0.774716;7.33623e-07;170;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.567416;-0.818199;0.774716;-0.774715;200;1,23967; ;TAK
Hooke-Jeeves;0.5;0.260668;-0.195593;0.774716;-0.774716;183;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.951033;0.124005;0.774717;8.03369e-07;196;0,619837; ;TAK
Hooke-Jeeves;0.5;0.911947;0.930598;0.774715;0.774716;169;1,23967; ;TAK
Hooke-Jeeves;0.5;0.148238;-0.784188;6.63558e-07;-0.774716;176;0,619837; ;TAK
Hooke-Jeeves;0.5;0.665646;-0.481569;9.34643e-08;4.26683e-07;192;6,07558e-12; ;TAK
Hooke-Jeeves;0.5;-0.35225;0.389174;-7.34285e-07;0.774716;196;0,619837; ;TAK
Hooke-Jeeves;0.5;0.793002;-0.724733;0.774716;-0.774716;183;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.677187;0.727215;0.774716;0.774716;180;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.468683;0.295612;6.78045e-07;0.774715;193;0,619837; ;TAK
Hooke-Jeeves;1;0.263543;0.454414;-0.774716;0.774716;194;1,23967; ;TAK
Hooke-Jeeves;1;0.59972;0.0797336;3.181e-07;6.82245e-07;195;1,80433e-11; ;TAK
Hooke-Jeeves;1;0.24705;-0.890551;-0.774716;-3.27508e-07;198;0,619837; ;TAK
Hooke-Jeeves;1;0.760017;-0.540419;0.774715;0.774715;195;1,23967; ;TAK
Hooke-Jeeves;1;-0.739445;-0.692109;-0.774716;-0.774716;187;1,23967; ;TAK
Hooke-Jeeves;1;-0.569272;0.911991;0.774716;2.4286e-07;188;0,619837; ;TAK
